merge_id,section,variant,canonical,rule,status,n_variant,n_canonical,detail,decision,reason
persons: A. L.-L. -> A.L.=L.,persons,A. L.-L.,A.L.=L.,same-key,auto,3,3,,,
persons: Kain -> A. Leitner-Kain,persons,Kain,A. Leitner-Kain,surname-unique,auto,1,2,,,
persons: A. Müller -> Adolf Müller,persons,A. Müller,Adolf Müller,dominant,auto,1653,3093,,,
persons: Dr. Müller -> Adolf Müller,persons,Dr. Müller,Adolf Müller,dominant,auto,1,3093,,,
persons: Hr. Müller -> Adolf Müller,persons,Hr. Müller,Adolf Müller,same-key,auto,2,3093,,,
persons: Ing. Müller -> Adolf Müller,persons,Ing. Müller,Adolf Müller,same-key,auto,3,3093,,,
persons: Müller -> Adolf Müller,persons,Müller,Adolf Müller,same-key,auto,100,3093,,,
persons: Prof. Müller -> Adolf Müller,persons,Prof. Müller,Adolf Müller,same-key,auto,5,3093,,,
persons: Dr. Portmann -> A. Portmann,persons,Dr. Portmann,A. Portmann,surname-unique,auto,1,1,,,
persons: A. Seitz -> Dr. Alfred Seitz,persons,A. Seitz,Dr. Alfred Seitz,initial-unique,auto,2,2,,,
persons: A. Wetmore -> Alexander Wetmore,persons,A. Wetmore,Alexander Wetmore,initial-unique,auto,3,1,,,
persons: Dr. A. Wetmore -> Alexander Wetmore,persons,Dr. A. Wetmore,Alexander Wetmore,same-key,auto,2,1,,,
persons: Wetmore -> Alexander Wetmore,persons,Wetmore,Alexander Wetmore,surname-unique,auto,2,1,,,
persons: A. Würtz -> Andreas Würtz,persons,A. Würtz,Andreas Würtz,initial-unique,auto,2,2,,,
persons: A. Wüstli -> Alex Wüstli,persons,A. Wüstli,Alex Wüstli,initial-unique,auto,2,4,,,
persons: Finken -> A. finken,persons,Finken,A. finken,surname-unique,auto,1,1,,,
persons: A. von Jordans -> Adolf von Jordans,persons,A. von Jordans,Adolf von Jordans,same-key,auto,2,5,,,
persons: Dr. Adolf von Jordans -> Adolf von Jordans,persons,Dr. Adolf von Jordans,Adolf von Jordans,wikidata,auto,1,5,,,
persons: Prof. Dr. Adolf von Jordans -> Adolf von Jordans,persons,Prof. Dr. Adolf von Jordans,Adolf von Jordans,same-key,auto,1,5,,,
persons: Adolf -> Onkel Adolf,persons,Adolf,Onkel Adolf,surname-unique,auto,252,1,,,
persons: Obermaier -> Adolf Obermaier,persons,Obermaier,Adolf Obermaier,surname-unique,auto,1,1,,,
persons: Adolf von Gärtner -> Gärtner,persons,Adolf von Gärtner,Gärtner,same-key,auto,1,2,,,
persons: Dr. Gärtner -> Gärtner,persons,Dr. Gärtner,Gärtner,surname-unique,auto,2,2,,,
persons: Agner -> Georg Anton Agner,persons,Agner,Georg Anton Agner,surname-unique,auto,2,2,,,
persons: Albrecht -> Prinz Albrecht,persons,Albrecht,Prinz Albrecht,dominant,auto,2,6,,,
persons: P. Albrecht -> Prinz Albrecht,persons,P. Albrecht,Prinz Albrecht,initial-unique,auto,1,6,,,
persons: Kahlert -> Alfred Kahlert,persons,Kahlert,Alfred Kahlert,surname-unique,auto,1,1,,,
persons: Dr. Alfred Laubmann -> Alfred Laubmann,persons,Dr. Alfred Laubmann,Alfred Laubmann,same-key,auto,1,2,,,
persons: Altner -> Helmut Altner,persons,Altner,Helmut Altner,surname-unique,auto,1,1,,,
persons: H.Altner -> Helmut Altner,persons,H.Altner,Helmut Altner,initial-unique,auto,1,1,,,
persons: Eber. -> Angela Eber,persons,Eber.,Angela Eber,surname-unique,auto,4,1,,,
persons: Anni -> Geier-Anni,persons,Anni,Geier-Anni,surname-unique,auto,1,1,,,
persons: Förster -> Anton Förster,persons,Förster,Anton Förster,surname-unique,auto,2,2,,,
persons: Kögl -> Anton Kögl,persons,Kögl,Anton Kögl,surname-unique,auto,2,6,,,
persons: Apotheker Lotte -> Lotte,persons,Apotheker Lotte,Lotte,same-key,auto,2,5,,,
persons: Apotheker Vogel -> Hanns Vogel,persons,Apotheker Vogel,Hanns Vogel,surname-unique,auto,4,2,,,
persons: Dr. Vogel -> Hanns Vogel,persons,Dr. Vogel,Hanns Vogel,same-key,auto,1,2,,,
persons: H. Vogel -> Hanns Vogel,persons,H. Vogel,Hanns Vogel,initial-unique,auto,3,2,,,
persons: Vogel -> Hanns Vogel,persons,Vogel,Hanns Vogel,same-key,auto,4,2,,,
persons: Prof. Wagner -> Apotheker Wagner,persons,Prof. Wagner,Apotheker Wagner,same-key,auto,2,5,,,
persons: Arbeiter -> Finninger Kraftwerk-Arbeiter,persons,Arbeiter,Finninger Kraftwerk-Arbeiter,surname-unique,auto,1,2,,,
persons: Arnold -> Heinz Arnold,persons,Arnold,Heinz Arnold,dominant,auto,3,43,,,
persons: Dr. Arnold -> Heinz Arnold,persons,Dr. Arnold,Heinz Arnold,same-key,auto,2,43,,,
persons: H. Arnold -> Heinz Arnold,persons,H. Arnold,Heinz Arnold,dominant,auto,1,43,,,
persons: Hr. Arnold -> Heinz Arnold,persons,Hr. Arnold,Heinz Arnold,same-key,auto,3,43,,,
persons: Arty von Gontard -> v. Gontard,persons,Arty von Gontard,v. Gontard,initial-unique,auto,1,1,,,
persons: Aug Müller -> Aug. Müller,persons,Aug Müller,Aug. Müller,same-key,auto,10,23,,,
persons: Axel von Gartner -> Prof. Gartner,persons,Axel von Gartner,Prof. Gartner,surname-unique,auto,1,1,,,
persons: Prof. B. Hoffmann -> B. Hoffmann,persons,Prof. B. Hoffmann,B. Hoffmann,same-key,auto,2,3,,,
persons: Prof. Dr. B. Hoffmann -> B. Hoffmann,persons,Prof. Dr. B. Hoffmann,B. Hoffmann,same-key,auto,1,3,,,
persons: BAUER -> Bauer,persons,BAUER,Bauer,same-key,auto,1,60,,,
persons: Baron Bauer -> Bauer,persons,Baron Bauer,Bauer,same-key,auto,1,60,,,
persons: Herr BAUER -> Bauer,persons,Herr BAUER,Bauer,same-key,auto,1,60,,,
persons: Herr Bauer -> Bauer,persons,Herr Bauer,Bauer,same-key,auto,5,60,,,
persons: BERNECKER -> Bernecker,persons,BERNECKER,Bernecker,same-key,auto,3,4,,,
persons: BEZZEL -> Einhart Bezzel,persons,BEZZEL,Einhart Bezzel,dominant,auto,3,342,,,
persons: Bezzel -> Einhart Bezzel,persons,Bezzel,Einhart Bezzel,same-key,auto,176,342,,,
persons: Dr. Bezzel -> Einhart Bezzel,persons,Dr. Bezzel,Einhart Bezzel,same-key,auto,1,342,,,
persons: Dr. E. Bezzel -> Einhart Bezzel,persons,Dr. E. Bezzel,Einhart Bezzel,dominant,auto,1,342,,,
persons: E. Bezzel -> Einhart Bezzel,persons,E. Bezzel,Einhart Bezzel,same-key,auto,1656,342,,,
persons: E. Bezzel? -> Einhart Bezzel,persons,E. Bezzel?,Einhart Bezzel,same-key,auto,14,342,,,
persons: E.Bezzel -> Einhart Bezzel,persons,E.Bezzel,Einhart Bezzel,same-key,auto,1,342,,,
persons: Bacmeister -> W. Bacmeister,persons,Bacmeister,W. Bacmeister,surname-unique,auto,8,16,,,
persons: Balzac -> Flaine de Balzac,persons,Balzac,Flaine de Balzac,surname-unique,auto,1,1,,,
persons: Bamberger -> Fritz Bamberger,persons,Bamberger,Fritz Bamberger,dominant,auto,20,23,,,
persons: Benner -> Baron Benner,persons,Benner,Baron Benner,same-key,auto,2,9,,,
persons: Baron Berlepsch -> Berlepsch,persons,Baron Berlepsch,Berlepsch,same-key,auto,1,1,,,
persons: Baron Berner -> v. Berner,persons,Baron Berner,v. Berner,surname-unique,auto,15,1,,,
persons: Baron von Berner -> v. Berner,persons,Baron von Berner,v. Berner,initial-unique,auto,7,1,,,
persons: Berner -> v. Berner,persons,Berner,v. Berner,same-key,auto,3,1,,,
persons: von Berner -> v. Berner,persons,von Berner,v. Berner,same-key,auto,1,1,,,
persons: Baron von Besserer -> Baron Besserer,persons,Baron von Besserer,Baron Besserer,surname-unique,auto,5,21,,,
persons: Baron von Beurer -> Baron Beurer,persons,Baron von Beurer,Baron Beurer,surname-unique,auto,1,6,,,
persons: Beurer -> Baron Beurer,persons,Beurer,Baron Beurer,same-key,auto,1,6,,,
persons: Baron Bodmann -> v. Bodmann,persons,Baron Bodmann,v. Bodmann,surname-unique,auto,1,1,,,
persons: Baron von Bodmann -> v. Bodmann,persons,Baron von Bodmann,v. Bodmann,initial-unique,auto,1,1,,,
persons: Baron Bonn -> Kira Bonn,persons,Baron Bonn,Kira Bonn,dominant,auto,2,7,,,
persons: Bonn -> Kira Bonn,persons,Bonn,Kira Bonn,same-key,auto,4,7,,,
persons: E. Graf von Freiberg -> Baron Freiberg,persons,E. Graf von Freiberg,Baron Freiberg,surname-unique,auto,1,3,,,
persons: Baron Geyr -> Prof.Dr.Baron Geyr,persons,Baron Geyr,Prof.Dr.Baron Geyr,surname-unique,auto,1,1,,,
persons: Geyr -> Prof.Dr.Baron Geyr,persons,Geyr,Prof.Dr.Baron Geyr,same-key,auto,1,1,,,
persons: Prof. Dr. Baron Geyr -> Prof.Dr.Baron Geyr,persons,Prof. Dr. Baron Geyr,Prof.Dr.Baron Geyr,same-key,auto,1,1,,,
persons: Prof. Geyr -> Prof.Dr.Baron Geyr,persons,Prof. Geyr,Prof.Dr.Baron Geyr,same-key,auto,1,1,,,
persons: Baron Transehe -> Dr. Transehe,persons,Baron Transehe,Dr. Transehe,same-key,auto,1,1,,,
persons: Bartl -> Bruno Bartl,persons,Bartl,Bruno Bartl,surname-unique,auto,1,2,,,
persons: Friedrich -> Bau-Friedrich,persons,Friedrich,Bau-Friedrich,surname-unique,auto,7,3,,,
persons: Friedrichs -> Bau-Friedrichs,persons,Friedrichs,Bau-Friedrichs,surname-unique,auto,1,1,,,
persons: Beck -> G. Beck,persons,Beck,G. Beck,surname-unique,auto,4,3,,,
persons: Dr. Beck -> G. Beck,persons,Dr. Beck,G. Beck,same-key,auto,2,3,,,
persons: Bejohr -> Wolfgang Bejohr,persons,Bejohr,Wolfgang Bejohr,surname-unique,auto,1,6,,,
persons: Berg -> Bengt Berg,persons,Berg,Bengt Berg,surname-unique,auto,1,1,,,
persons: Beobachter -> ungenannter Beobachter,persons,Beobachter,ungenannter Beobachter,surname-unique,auto,4,2,,,
persons: Beppel -> E. Beppel,persons,Beppel,E. Beppel,surname-unique,auto,1,43,,,
persons: Herr Berchtold -> Berchtold,persons,Herr Berchtold,Berchtold,same-key,auto,2,3,,,
persons: Herr Bergmann -> Bergmann,persons,Herr Bergmann,Bergmann,same-key,auto,2,4,,,
persons: Bergmiller -> Fritz Bergmiller,persons,Bergmiller,Fritz Bergmiller,surname-unique,auto,2,2,,,
persons: Berlioz -> J. Berlioz,persons,Berlioz,J. Berlioz,surname-unique,auto,2,2,,,
persons: Dr Berlioz -> J. Berlioz,persons,Dr Berlioz,J. Berlioz,same-key,auto,1,2,,,
persons: Dr. Berlioz -> J. Berlioz,persons,Dr. Berlioz,J. Berlioz,same-key,auto,1,2,,,
persons: Prof. Berlioz -> J. Berlioz,persons,Prof. Berlioz,J. Berlioz,same-key,auto,1,2,,,
persons: Prof. Dr. J. Berlioz -> J. Berlioz,persons,Prof. Dr. J. Berlioz,J. Berlioz,same-key,auto,1,2,,,
persons: Hauptlehrer Bertel -> Bertel,persons,Hauptlehrer Bertel,Bertel,same-key,auto,2,2,,,
persons: Beubner -> Günter Beubner,persons,Beubner,Günter Beubner,surname-unique,auto,3,4,,,
persons: Bierl -> Hans Bierl,persons,Bierl,Hans Bierl,surname-unique,auto,4,2,,,
persons: Birnaichner -> Franz Birnaichner,persons,Birnaichner,Franz Birnaichner,surname-unique,auto,2,2,,,
persons: Blasius -> R. Blasius,persons,Blasius,R. Blasius,surname-unique,auto,1,1,,,
persons: Bodenstein -> Günther Bodenstein,persons,Bodenstein,Günther Bodenstein,surname-unique,auto,1,4,,,
persons: Dr G. Bodenstein -> Günther Bodenstein,persons,Dr G. Bodenstein,Günther Bodenstein,initial-unique,auto,4,4,,,
persons: Dr. Bodenstein -> Günther Bodenstein,persons,Dr. Bodenstein,Günther Bodenstein,same-key,auto,1,4,,,
persons: Dr. G. Bodenstein -> Günther Bodenstein,persons,Dr. G. Bodenstein,Günther Bodenstein,same-key,auto,61,4,,,
persons: Dr. Günther Bodenstein -> Günther Bodenstein,persons,Dr. Günther Bodenstein,Günther Bodenstein,same-key,auto,3,4,,,
persons: G. Bodenstein -> Günther Bodenstein,persons,G. Bodenstein,Günther Bodenstein,same-key,auto,23,4,,,
persons: Bogdanovicz -> Dr. H. Bogdanovicz,persons,Bogdanovicz,Dr. H. Bogdanovicz,surname-unique,auto,6,20,,,
persons: Dr. Bogdanovicz -> Dr. H. Bogdanovicz,persons,Dr. Bogdanovicz,Dr. H. Bogdanovicz,same-key,auto,65,20,,,
persons: H. Bogdanovicz -> Dr. H. Bogdanovicz,persons,H. Bogdanovicz,Dr. H. Bogdanovicz,same-key,auto,4,20,,,
persons: Bogdanowicz -> Helmut Bogdanowicz,persons,Bogdanowicz,Helmut Bogdanowicz,dominant,auto,12,20,,,
persons: Dr Bogdanowicz -> Helmut Bogdanowicz,persons,Dr Bogdanowicz,Helmut Bogdanowicz,same-key,auto,24,20,,,
persons: Dr. Bogdanowicz -> Helmut Bogdanowicz,persons,Dr. Bogdanowicz,Helmut Bogdanowicz,same-key,auto,25,20,,,
persons: Dr. H. Bogdanowicz -> Helmut Bogdanowicz,persons,Dr. H. Bogdanowicz,Helmut Bogdanowicz,initial-unique,auto,2,20,,,
persons: Prof. Bogdanowicz -> Helmut Bogdanowicz,persons,Prof. Bogdanowicz,Helmut Bogdanowicz,same-key,auto,107,20,,,
persons: Bohmann -> Stud. Bohmann,persons,Bohmann,Stud. Bohmann,same-key,auto,2,8,,,
persons: Dr. Bohmann -> Stud. Bohmann,persons,Dr. Bohmann,Stud. Bohmann,same-key,auto,3,8,,,
persons: Bopp -> Hans Bopp,persons,Bopp,Hans Bopp,surname-unique,auto,14,2,,,
persons: Präparator Bopp -> Hans Bopp,persons,Präparator Bopp,Hans Bopp,same-key,auto,6,2,,,
persons: Klaus -> Bringer Klaus,persons,Klaus,Bringer Klaus,surname-unique,auto,2,1,,,
persons: Herr Lenz -> Brüder Lenz,persons,Herr Lenz,Brüder Lenz,surname-unique,auto,2,1,,,
persons: Lenz -> Brüder Lenz,persons,Lenz,Brüder Lenz,same-key,auto,3,1,,,
persons: Buller -> Herbert Buller,persons,Buller,Herbert Buller,surname-unique,auto,1,1,,,
persons: Burkart -> Emil Burkart,persons,Burkart,Emil Burkart,surname-unique,auto,2,2,,,
persons: Inspektor Burkhardt -> Burkhardt,persons,Inspektor Burkhardt,Burkhardt,same-key,auto,16,16,,,
persons: Böhm -> Dr. Anton Böhm,persons,Böhm,Dr. Anton Böhm,surname-unique,auto,1,1,,,
persons: Bühler -> Hans Bühler,persons,Bühler,Hans Bühler,surname-unique,auto,1,15,,,
persons: C.E. Hellmayr -> C. E. Hellmayr,persons,C.E. Hellmayr,C. E. Hellmayr,same-key,auto,3,47,,,
persons: Dr. Hellmayr -> C. E. Hellmayr,persons,Dr. Hellmayr,C. E. Hellmayr,surname-unique,auto,1,47,,,
persons: Hellmayr -> C. E. Hellmayr,persons,Hellmayr,C. E. Hellmayr,same-key,auto,18,47,,,
persons: C. Lauter -> Carl Lauter,persons,C. Lauter,Carl Lauter,initial-unique,auto,1,1,,,
persons: Steinmetz -> C. Steinmetz,persons,Steinmetz,C. Steinmetz,surname-unique,auto,2,4,,,
persons: Zink -> Cand. G. Zink,persons,Zink,Cand. G. Zink,surname-unique,auto,1,2,,,
persons: Dr. Kunk -> Cand. rer. nat. Kunk,persons,Dr. Kunk,Cand. rer. nat. Kunk,same-key,auto,2,3,,,
persons: Dr. Carl Fischer -> Carl Fischer,persons,Dr. Carl Fischer,Carl Fischer,same-key,auto,2,5,,,
persons: Carpenter -> Prof. G. D. Carpenter,persons,Carpenter,Prof. G. D. Carpenter,surname-unique,auto,1,1,,,
persons: Chapin -> Dr James P. Chapin,persons,Chapin,Dr James P. Chapin,surname-unique,auto,1,1,,,
persons: Dr. J. Chapin -> Dr James P. Chapin,persons,Dr. J. Chapin,Dr James P. Chapin,initial-unique,auto,1,1,,,
persons: Ertz -> Chr. D. Ertz,persons,Ertz,Chr. D. Ertz,dominant,auto,2,29,,,
persons: Fritz -> Chr. D. Fritz,persons,Fritz,Chr. D. Fritz,surname-unique,auto,17,11,,,
persons: Chr.WALTHER -> Chr. Walther,persons,Chr.WALTHER,Chr. Walther,same-key,auto,1,5,,,
persons: Schütz -> Christian Schütz,persons,Schütz,Christian Schütz,surname-unique,auto,5,1,,,
persons: Seibold -> Christian Seibold,persons,Seibold,Christian Seibold,surname-unique,auto,8,5,,,
persons: Hr. Walther -> Christian Walther,persons,Hr. Walther,Christian Walther,dominant,auto,2,51,,,
persons: WALTHER -> Christian Walther,persons,WALTHER,Christian Walther,same-key,auto,2,51,,,
persons: Walther -> Christian Walther,persons,Walther,Christian Walther,same-key,auto,30,51,,,
persons: Corti -> Dr. Ulrich A. Corti,persons,Corti,Dr. Ulrich A. Corti,dominant,auto,1,5,,,
persons: Ulrich A. Corti -> Dr. Ulrich A. Corti,persons,Ulrich A. Corti,Dr. Ulrich A. Corti,same-key,auto,1,5,,,
persons: D. Amadon -> Dean Amadon,persons,D. Amadon,Dean Amadon,initial-unique,auto,1,1,,,
persons: Herr Rethmeyer -> D. Rethmeyer,persons,Herr Rethmeyer,D. Rethmeyer,surname-unique,auto,7,1,,,
persons: Rethmeyer -> D. Rethmeyer,persons,Rethmeyer,D. Rethmeyer,same-key,auto,2,1,,,
persons: Dahlem -> Kunstmaler Dahlem,persons,Dahlem,Kunstmaler Dahlem,surname-unique,auto,2,4,,,
persons: Dekan Hall -> Dr. W. Hall,persons,Dekan Hall,Dr. W. Hall,surname-unique,auto,1,1,,,
persons: Delacour -> Jean Delacour,persons,Delacour,Jean Delacour,surname-unique,auto,1,3,,,
persons: J. Delacour -> Jean Delacour,persons,J. Delacour,Jean Delacour,initial-unique,auto,1,3,,,
persons: Depp -> Herr Depp,persons,Depp,Herr Depp,same-key,auto,1,2,,,
persons: Dick -> K. Dick,persons,Dick,K. Dick,surname-unique,auto,3,2,,,
persons: Diener -> M. Diener,persons,Diener,M. Diener,surname-unique,auto,3,3,,,
persons: Dr. Diener -> M. Diener,persons,Dr. Diener,M. Diener,same-key,auto,2,3,,,
persons: Herr Diener -> M. Diener,persons,Herr Diener,M. Diener,same-key,auto,6,3,,,
persons: Dierer -> M. Dierer,persons,Dierer,M. Dierer,surname-unique,auto,5,4,,,
persons: Dr. Burckhardt -> Dieter Burckhardt,persons,Dr. Burckhardt,Dieter Burckhardt,surname-unique,auto,2,1,,,
persons: Herr Dietl -> Dietl,persons,Herr Dietl,Dietl,same-key,auto,2,4,,,
persons: Dietrich -> F. Dietrich,persons,Dietrich,F. Dietrich,surname-unique,auto,2,14,,,
persons: Dietz -> Dr. Dietz,persons,Dietz,Dr. Dietz,same-key,auto,1,4,,,
persons: Inspektor Schacht -> Dipl. Gartenbau-Inspektor Schacht,persons,Inspektor Schacht,Dipl. Gartenbau-Inspektor Schacht,surname-unique,auto,6,2,,,
persons: Schacht -> Dipl. Gartenbau-Inspektor Schacht,persons,Schacht,Dipl. Gartenbau-Inspektor Schacht,same-key,auto,2,2,,,
persons: Direktor Heck -> Heinz Heck,persons,Direktor Heck,Heinz Heck,dominant,auto,2,3,,,
persons: H. Heck -> Heinz Heck,persons,H. Heck,Heinz Heck,initial-unique,auto,2,3,,,
persons: Heck -> Heinz Heck,persons,Heck,Heinz Heck,same-key,auto,2,3,,,
persons: Direktor Ruß -> Neunzig-Ruß,persons,Direktor Ruß,Neunzig-Ruß,surname-unique,auto,1,1,,,
persons: Direktor Schillinger -> Schillinger,persons,Direktor Schillinger,Schillinger,same-key,auto,4,6,,,
persons: Dr. Schillinger -> Schillinger,persons,Dr. Schillinger,Schillinger,same-key,auto,5,6,,,
persons: Förster Schillinger -> Schillinger,persons,Förster Schillinger,Schillinger,same-key,auto,1,6,,,
persons: Herr Schillinger -> Schillinger,persons,Herr Schillinger,Schillinger,same-key,auto,2,6,,,
persons: Dorf -> H. Dorf,persons,Dorf,H. Dorf,surname-unique,auto,1,1,,,
persons: Heinz von Dort -> Dort,persons,Heinz von Dort,Dort,surname-unique,auto,29,1,,,
persons: Dr Engel -> Dr Herbert Engel,persons,Dr Engel,Dr Herbert Engel,dominant,auto,49,82,,,
persons: Dr. Engel -> Dr Herbert Engel,persons,Dr. Engel,Dr Herbert Engel,same-key,auto,158,82,,,
persons: Dr. H. Engel -> Dr Herbert Engel,persons,Dr. H. Engel,Dr Herbert Engel,initial-unique,auto,5,82,,,
persons: Dr. Herbert Engel -> Dr Herbert Engel,persons,Dr. Herbert Engel,Dr Herbert Engel,same-key,auto,30,82,,,
persons: Engel -> Dr Herbert Engel,persons,Engel,Dr Herbert Engel,same-key,auto,10,82,,,
persons: H Engel -> Dr Herbert Engel,persons,H Engel,Dr Herbert Engel,same-key,auto,10,82,,,
persons: H. Engel -> Dr Herbert Engel,persons,H. Engel,Dr Herbert Engel,same-key,auto,80,82,,,
persons: H. H. Engel -> Dr Herbert Engel,persons,H. H. Engel,Dr Herbert Engel,initial-unique,auto,1,82,,,
persons: Herbert Engel -> Dr Herbert Engel,persons,Herbert Engel,Dr Herbert Engel,same-key,auto,14,82,,,
persons: Herr Engel -> Dr Herbert Engel,persons,Herr Engel,Dr Herbert Engel,same-key,auto,2,82,,,
persons: Hr Engel -> Dr Herbert Engel,persons,Hr Engel,Dr Herbert Engel,same-key,auto,9,82,,,
persons: Hr. Engel -> Dr Herbert Engel,persons,Hr. Engel,Dr Herbert Engel,same-key,auto,4,82,,,
persons: Dr Ernst Mayr -> Ernst Mayr,persons,Dr Ernst Mayr,Ernst Mayr,same-key,auto,1,1,,,
persons: Dr. E. Mayr -> Ernst Mayr,persons,Dr. E. Mayr,Ernst Mayr,initial-unique,auto,2,1,,,
persons: E. Mayr -> Ernst Mayr,persons,E. Mayr,Ernst Mayr,same-key,auto,2,1,,,
persons: Prof. E. Mayr -> Ernst Mayr,persons,Prof. E. Mayr,Ernst Mayr,same-key,auto,1,1,,,
persons: Dr Frank -> Frank,persons,Dr Frank,Frank,same-key,auto,1,4,,,
persons: Dr. Frank -> Frank,persons,Dr. Frank,Frank,same-key,auto,4,4,,,
persons: Herr Frank -> Frank,persons,Herr Frank,Frank,same-key,auto,2,4,,,
persons: Dr G. C. A. Junge -> G. C. A. Junge,persons,Dr G. C. A. Junge,G. C. A. Junge,same-key,auto,1,1,,,
persons: Dr. G. Junge -> G. C. A. Junge,persons,Dr. G. Junge,G. C. A. Junge,wikidata,auto,2,1,,,
persons: Dr Ganger -> Dr. Ganger,persons,Dr Ganger,Dr. Ganger,same-key,auto,3,4,,,
persons: Ganger -> Dr. Ganger,persons,Ganger,Dr. Ganger,same-key,auto,3,4,,,
persons: Dr Gauger -> Dr. G. Gauger,persons,Dr Gauger,Dr. G. Gauger,surname-unique,auto,52,3,,,
persons: Dr. Gauger -> Dr. G. Gauger,persons,Dr. Gauger,Dr. G. Gauger,same-key,auto,16,3,,,
persons: Gauger -> Dr. G. Gauger,persons,Gauger,Dr. G. Gauger,same-key,auto,1,3,,,
persons: Dr Gengler -> Dr J. Gengler,persons,Dr Gengler,Dr J. Gengler,dominant,auto,28,21,,,
persons: Dr. G. Gengler -> Dr J. Gengler,persons,Dr. G. Gengler,Dr J. Gengler,same-key,auto,1,21,,,
persons: Dr. Gengler -> Dr J. Gengler,persons,Dr. Gengler,Dr J. Gengler,surname-unique,auto,10,21,,,
persons: Gengler -> Dr J. Gengler,persons,Gengler,Dr J. Gengler,same-key,auto,1,21,,,
persons: Dr Georg Steinbacher -> Georg Steinbacher,persons,Dr Georg Steinbacher,Georg Steinbacher,same-key,auto,3,6,,,
persons: Dr. G. Steinbacher -> Georg Steinbacher,persons,Dr. G. Steinbacher,Georg Steinbacher,initial-unique,auto,1,6,,,
persons: G. Steinbacher -> Georg Steinbacher,persons,G. Steinbacher,Georg Steinbacher,same-key,auto,1,6,,,
persons: Dr Hans Kummerloeve -> Dr. Hans Kumerloeve,persons,Dr Hans Kummerloeve,Dr. Hans Kumerloeve,wikidata,auto,1,30,,,
persons: Dr. H. Kummerlöwe -> Dr. Hans Kumerloeve,persons,Dr. H. Kummerlöwe,Dr. Hans Kumerloeve,initial-unique,auto,2,30,,,
persons: Dr. Kummerlöwe -> Dr. Hans Kumerloeve,persons,Dr. Kummerlöwe,Dr. Hans Kumerloeve,surname-unique,auto,2,30,,,
persons: Hans Kummerlöwe -> Dr. Hans Kumerloeve,persons,Hans Kummerlöwe,Dr. Hans Kumerloeve,wikidata,auto,1,30,,,
persons: Dr. H. Stadler -> Dr Hans Stadler,persons,Dr. H. Stadler,Dr Hans Stadler,initial-unique,auto,4,5,,,
persons: Dr. Stadler -> Dr Hans Stadler,persons,Dr. Stadler,Dr Hans Stadler,surname-unique,auto,7,5,,,
persons: Dr. med. Hans Stadler -> Dr Hans Stadler,persons,Dr. med. Hans Stadler,Dr Hans Stadler,same-key,auto,1,5,,,
persons: Förster Stadler -> Dr Hans Stadler,persons,Förster Stadler,Dr Hans Stadler,same-key,auto,2,5,,,
