merge_id,section,variant,canonical,rule,status,n_variant,n_canonical,detail,decision,reason
places: Straße Ismaning Aschheim -> Straße Ismaning - Aschheim,places,Straße Ismaning Aschheim,Straße Ismaning - Aschheim,orthographic,auto,1,3,kind - / locality,,
places: Schloßpark -> Schlosspark,places,Schloßpark,Schlosspark,orthographic,auto,3,10,kind - / locality,,
places: Schloß Hohenburg -> Schloss Hohenburg,places,Schloß Hohenburg,Schloss Hohenburg,orthographic,auto,1,21,kind - / locality,,
places: Nussberger Weiher -> Nußberger Weiher,places,Nussberger Weiher,Nußberger Weiher,orthographic,auto,1,14,kind - / locality,,
places: München - Gera -> München-Gera,places,München - Gera,München-Gera,orthographic,auto,4,4,kind locality / locality,,
places: Weißach Tal -> Weißach-Tal,places,Weißach Tal,Weißach-Tal,orthographic,auto,2,2,kind locality / locality,,
"places: Ismaning (Westbecken) -> Ismaning, Westbecken",places,Ismaning (Westbecken),"Ismaning, Westbecken",orthographic,auto,2,2,kind locality / locality,,
places: Altes Schloss -> Altes Schloß,places,Altes Schloss,Altes Schloß,orthographic,auto,2,8,kind locality / locality,,
"places: Ismaning Süddamm -> Ismaning, Süddamm",places,Ismaning Süddamm,"Ismaning, Süddamm",orthographic,auto,2,8,kind locality / locality,,
places: Garten der alten Akademie -> Garten der Alten Akademie,places,Garten der alten Akademie,Garten der Alten Akademie,orthographic,auto,2,2,kind locality / locality,,
places: Mittleres Westbecken -> mittleres Westbecken,places,Mittleres Westbecken,mittleres Westbecken,orthographic,auto,4,10,kind locality / locality,,
places: beim Stein -> Beim Stein,places,beim Stein,Beim Stein,orthographic,auto,4,20,kind locality / locality,,
places: erste Insel -> Erste Insel,places,erste Insel,Erste Insel,orthographic,auto,6,14,kind locality / locality,,
places: Wittelsbacher-Palais -> Wittelsbacher Palais,places,Wittelsbacher-Palais,Wittelsbacher Palais,orthographic,auto,2,4,kind locality / locality,,
places: horst -> Horst,places,horst,Horst,orthographic,auto,2,3,kind locality / locality,,
places: oberer Schluchtweg -> Oberer Schluchtweg,places,oberer Schluchtweg,Oberer Schluchtweg,orthographic,auto,2,6,kind locality / locality,,
places: Flosslände -> Floßlände,places,Flosslände,Floßlände,orthographic,auto,2,64,kind locality / locality,,
places: Grünwald - Mühltal -> Grünwald-Mühltal,places,Grünwald - Mühltal,Grünwald-Mühltal,orthographic,auto,2,5,kind locality / locality,,
places: Maria Eichstraße -> Maria-Eichstraße,places,Maria Eichstraße,Maria-Eichstraße,orthographic,auto,2,2,kind locality / locality,,
places: St. Zeno -> Sankt Zeno,places,St. Zeno,Sankt Zeno,orthographic,auto,2,4,kind locality / locality,,
"places: München-Karlingerstraße -> München, Karlingerstraße",places,München-Karlingerstraße,"München, Karlingerstraße",orthographic,auto,2,4,kind locality / locality,,
"places: München, Fabrikgelände -> München-Fabrikgelände",places,"München, Fabrikgelände",München-Fabrikgelände,orthographic,auto,2,2,kind locality / locality,,
places: zweite Insel -> Zweite Insel,places,zweite Insel,Zweite Insel,orthographic,auto,4,54,kind locality / locality,,
places: Grünwalder Perlacher Forst -> Grünwalder-Perlacher Forst,places,Grünwalder Perlacher Forst,Grünwalder-Perlacher Forst,orthographic,auto,1,13,kind - / locality,,
places: Speichersee Gelände -> Speichersee-Gelände,places,Speichersee Gelände,Speichersee-Gelände,orthographic,auto,1,3,kind - / locality,,
places: K3 Teiche -> K3-Teiche,places,K3 Teiche,K3-Teiche,orthographic,auto,2,6,kind locality / locality,,
places: E. W. -> E.W.,places,E. W.,E.W.,orthographic,auto,8,62,kind locality / locality,,
places: neues E. W. -> neues E.W.,places,neues E. W.,neues E.W.,orthographic,auto,11,12,kind locality / locality,,
places: Neues E.W. -> neues E.W.,places,Neues E.W.,neues E.W.,orthographic,auto,2,12,kind locality / locality,,
places: neues Kraftwerk -> Neues Kraftwerk,places,neues Kraftwerk,Neues Kraftwerk,orthographic,auto,2,4,kind locality / locality,,
places: Sankt Magnusstraße -> St. Magnusstraße,places,Sankt Magnusstraße,St. Magnusstraße,orthographic,auto,2,10,kind locality / locality,,
places: Wb. -> Wb,places,Wb.,Wb,orthographic,auto,110,187,kind locality / locality,,
places: WB -> Wb,places,WB,Wb,orthographic,auto,90,187,kind locality / locality,,
places: Tfb. -> Tfb,places,Tfb.,Tfb,orthographic,auto,8,12,kind locality / locality,,
places: östlich Tfb. -> östlich Tfb,places,östlich Tfb.,östlich Tfb,orthographic,auto,2,2,kind locality / locality,,
places: Ft. -> Ft,places,Ft.,Ft,orthographic,auto,6,62,kind locality / locality,,
places: FT -> Ft,places,FT,Ft,orthographic,auto,15,62,kind locality / locality,,
places: Vkl. -> Vkl,places,Vkl.,Vkl,orthographic,auto,37,62,kind locality / locality,,
places: VKL -> Vkl,places,VKL,Vkl,orthographic,auto,56,62,kind locality / locality,,
places: K 2 / 5 -> K 2/5,places,K 2 / 5,K 2/5,orthographic,auto,2,8,kind locality / locality,,
places: Vll. -> Vll,places,Vll.,Vll,orthographic,auto,2,2,kind locality / locality,,
places: VK+ -> VK,places,VK+,VK,orthographic,auto,2,4,kind locality / locality,,
places: Bauh -> Bauh.,places,Bauh,Bauh.,orthographic,auto,2,6,kind locality / locality,,
places: Riemer Wiese -> Riemer-Wiese,places,Riemer Wiese,Riemer-Wiese,orthographic,auto,4,45,kind locality / locality,,
places: KI -> Ki,places,KI,Ki,orthographic,auto,4,20,kind locality / locality,,
places: k 2/1 -> K 2/1,places,k 2/1,K 2/1,orthographic,auto,2,8,kind locality / locality,,
places: bb. -> Bb.,places,bb.,Bb.,orthographic,auto,6,10,kind locality / locality,,
places: Kanal beim E.W. -> Kanal beim E. W.,places,Kanal beim E.W.,Kanal beim E. W.,orthographic,auto,2,4,kind locality / locality,,
places: Wfb -> Wfb.,places,Wfb,Wfb.,orthographic,auto,12,18,kind locality / locality,,
places: östliches WB -> östliches Wb,places,östliches WB,östliches Wb,orthographic,auto,4,4,kind locality / locality,,
places: westliches Wb. -> westliches Wb,places,westliches Wb.,westliches Wb,orthographic,auto,8,8,kind locality / locality,,
places: Großes Schilffeld -> großes Schilffeld,places,Großes Schilffeld,großes Schilffeld,orthographic,auto,14,20,kind locality / locality,,
"places: München (Säbenerstraße) -> München, Säbenerstraße",places,München (Säbenerstraße),"München, Säbenerstraße",orthographic,auto,2,4,kind locality / locality,,
places: k 2/4 -> K 2/4,places,k 2/4,K 2/4,orthographic,auto,6,8,kind locality / locality,,
places: K 2/9 -> K/2/9,places,K 2/9,K/2/9,orthographic,auto,2,4,kind locality / locality,,
places: Leinthaler-Straße -> Leinthaler Straße,places,Leinthaler-Straße,Leinthaler Straße,orthographic,auto,1,2,kind - / locality,,
places: Gs -> GS,places,Gs,GS,orthographic,auto,2,10,kind locality / locality,,
places: qD -> QD,places,qD,QD,orthographic,auto,2,55,kind locality / locality,,
places: Geräumt VI / i -> Geräumt VI/i,places,Geräumt VI / i,Geräumt VI/i,orthographic,auto,4,6,kind locality / locality,,
places: Obere Fischteiche -> obere Fischteiche,places,Obere Fischteiche,obere Fischteiche,orthographic,auto,2,4,kind locality / locality,,
places: k 2/3 -> K 2/3,places,k 2/3,K 2/3,orthographic,auto,2,4,kind locality / locality,,
places: Westlicher Wb. -> westlicher Wb.,places,Westlicher Wb.,westlicher Wb.,orthographic,auto,2,2,kind locality / locality,,
places: mittlerer Hb. -> mittlerer Hb,places,mittlerer Hb.,mittlerer Hb,orthographic,auto,2,4,kind locality / locality,,
places: Schloß Berg -> Schloss Berg,places,Schloß Berg,Schloss Berg,orthographic,auto,1,2,kind - / -,,
places: München-Chiemgaustraße -> München (Chiemgaustraße),places,München-Chiemgaustraße,München (Chiemgaustraße),orthographic,auto,2,4,kind locality / locality,,
"places: München, Chiemgaustraße -> München (Chiemgaustraße)",places,"München, Chiemgaustraße",München (Chiemgaustraße),orthographic,auto,2,4,kind locality / locality,,
"places: München-Seybothstraße -> München, Seybothstraße",places,München-Seybothstraße,"München, Seybothstraße",orthographic,auto,2,8,kind locality / locality,,
places: Karolinger-Allee -> Karolinger Allee,places,Karolinger-Allee,Karolinger Allee,orthographic,auto,6,34,kind locality / locality,,
"places: München-Harlachinger Straße -> München, Harlachinger Straße",places,München-Harlachinger Straße,"München, Harlachinger Straße",orthographic,auto,2,4,kind locality / locality,,
places: Brahms Promenade -> Brahms-Promenade,places,Brahms Promenade,Brahms-Promenade,orthographic,auto,1,16,kind - / locality,,
places: Acha-Einmündung -> Achen-Einmündung,places,Acha-Einmündung,Achen-Einmündung,similar,candidate,7,8,similarity 0.91; kind locality / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Achra-Einmündung -> Acha-Einmündung,places,Achra-Einmündung,Acha-Einmündung,similar,candidate,2,7,similarity 0.97; kind locality / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Achen-Mündung -> Achemündung,places,Achen-Mündung,Achemündung,similar,candidate,8,11,similarity 0.92; kind locality / locality,n,superseded; another canonical accepted
places: Achemündung -> Achenmündung,places,Achemündung,Achenmündung,similar,candidate,11,126,similarity 0.96; kind locality / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Achsenmündung -> Achemündung,places,Achsenmündung,Achemündung,similar,candidate,2,11,similarity 0.92; kind locality / locality,n,superseded; another canonical accepted
places: Achern -> Achen,places,Achern,Achen,similar,candidate,2,6,similarity 0.91; kind locality / locality,y,OCR variant; same V6 Aug 1928 station; Baden town implausible
places: Achen-Einmündung -> Achen-Mündung,places,Achen-Einmündung,Achen-Mündung,similar,candidate,8,8,similarity 0.90; kind locality / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Acheneinmündung -> Achen-Einmündung,places,Acheneinmündung,Achen-Einmündung,similar,candidate,2,8,similarity 0.97; kind locality / locality,y,hyphen-only variant of same river-mouth name
places: Achseeinmündung -> Achen-Einmündung,places,Achseeinmündung,Achen-Einmündung,similar,candidate,1,8,similarity 0.91; kind - / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Achsen-Einmündung -> Achen-Einmündung,places,Achsen-Einmündung,Achen-Einmündung,similar,candidate,4,8,similarity 0.97; kind locality / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Achen-Mündung -> Achenmündung,places,Achen-Mündung,Achenmündung,similar,candidate,8,126,similarity 0.96; kind locality / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Achsen-Mündung -> Achen-Mündung,places,Achsen-Mündung,Achen-Mündung,similar,candidate,3,8,similarity 0.97; kind locality / locality,n,superseded; another canonical accepted
places: Achsenmündung -> Achen-Mündung,places,Achsenmündung,Achen-Mündung,similar,candidate,2,8,similarity 0.93; kind locality / locality,n,superseded; another canonical accepted
places: Achseeinmündung -> Acheneinmündung,places,Achseeinmündung,Acheneinmündung,similar,candidate,1,2,similarity 0.94; kind - / locality,n,superseded; another canonical accepted
places: Acheneinmündung -> Achsen-Einmündung,places,Acheneinmündung,Achsen-Einmündung,similar,candidate,2,4,similarity 0.94; kind locality / locality,n,superseded; another canonical accepted
places: Achsen-Mündung -> Achenmündung,places,Achsen-Mündung,Achenmündung,similar,candidate,3,126,similarity 0.93; kind locality / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Achsenmündung -> Achenmündung,places,Achsenmündung,Achenmündung,similar,candidate,2,126,similarity 0.96; kind locality / locality,y,OCR/hyphen variant of Achen mouth; same V6 Aug 1928
places: Achseeinmündung -> Achsen-Einmündung,places,Achseeinmündung,Achsen-Einmündung,similar,candidate,1,4,similarity 0.94; kind - / locality,n,superseded; another canonical accepted
places: Achseeinmündung -> Achsen-Mündung,places,Achseeinmündung,Achsen-Mündung,similar,candidate,1,3,similarity 0.90; kind - / locality,n,superseded; another canonical accepted
places: Achseeinmündung -> Achsenmündung,places,Achseeinmündung,Achsenmündung,similar,candidate,1,2,similarity 0.93; kind - / locality,n,superseded; another canonical accepted
places: Achsen-Mündung -> Achsen-Einmündung,places,Achsen-Mündung,Achsen-Einmündung,similar,candidate,3,4,similarity 0.91; kind locality / locality,n,superseded; another canonical accepted
places: Achsenmündung -> Achsen-Mündung,places,Achsenmündung,Achsen-Mündung,similar,candidate,2,3,similarity 0.97; kind locality / locality,n,superseded; another canonical accepted
places: Achthal -> Achtal,places,Achthal,Achtal,similar,candidate,1,7,similarity 0.92; kind - / locality,y,old th spelling of Tal; single use
places: Ahornallee -> Ahorn-Allee,places,Ahornallee,Ahorn-Allee,similar,candidate,14,16,similarity 0.95; kind locality / locality,y,hyphen variant; same Munich locality
places: Akademie-Garten -> Akademiegarten,places,Akademie-Garten,Akademiegarten,similar,candidate,14,42,similarity 0.97; kind locality / locality,y,hyphen variant; Munich
places: Akademiengarten -> Akademie-Garten,places,Akademiengarten,Akademie-Garten,similar,candidate,8,14,similarity 0.93; kind locality / locality,n,superseded; another canonical accepted
places: Akademiengarten -> Akademiegarten,places,Akademiengarten,Akademiegarten,similar,candidate,8,42,similarity 0.97; kind locality / locality,y,spelling variant; Munich
places: Amalienstraße 54 -> Amalienstraße,places,Amalienstraße 54,Amalienstraße,similar,candidate,36,156,similarity 0.90; kind locality / locality,n,house number is a specific address within street
places: Amalienstraße 64 -> Amalienstraße,places,Amalienstraße 64,Amalienstraße,similar,candidate,2,156,similarity 0.90; kind locality / locality,n,house number is a specific address within street
places: Amalienstraße 64 -> Amalienstraße 54,places,Amalienstraße 64,Amalienstraße 54,similar,candidate,2,36,similarity 0.94; kind locality / locality,n,different house numbers
places: Ammer-Moos -> Ammermoos,places,Ammer-Moos,Ammermoos,similar,candidate,2,28,similarity 0.95; kind locality / locality,y,hyphen variant
places: Ammermündung -> Ammer-Mündung,places,Ammermündung,Ammer-Mündung,similar,candidate,5,6,similarity 0.96; kind locality / locality,y,hyphen variant; Ammer mouth Ammersee
places: Ammerding -> Ammering,places,Ammerding,Ammering,similar,candidate,16,40,similarity 0.94; kind locality / locality,n,unclear; different decades; could be distinct -ing/-ding names
places: Angeremoos -> Anger-Moos,places,Angeremoos,Anger-Moos,similar,candidate,4,6,similarity 0.90; kind locality / locality,n,superseded; another canonical accepted
places: Anger-Moos -> Angermoos,places,Anger-Moos,Angermoos,similar,candidate,6,17,similarity 0.95; kind locality / locality,y,hyphen variant
places: Angeremoos -> Angermoos,places,Angeremoos,Angermoos,similar,candidate,4,17,similarity 0.95; kind locality / locality,y,OCR letter insertion
places: Angerloh -> Angerlohe,places,Angerloh,Angerlohe,similar,candidate,2,6,similarity 0.94; kind locality / locality,y,spelling variant; Munich Angerlohe wood
places: Angermaier -> Angermair,places,Angermaier,Angermair,similar,candidate,3,4,similarity 0.95; kind locality / locality,y,Maier/Mair spelling of same farm name; 1947-49
places: Anhaltfing -> Anhalting,places,Anhaltfing,Anhalting,similar,candidate,2,2,similarity 0.95; kind locality / locality,y,OCR letter insertion; same era Munich
places: Anigler-Hütte -> Aniglar-Hütte,places,Anigler-Hütte,Aniglar-Hütte,similar,candidate,1,1,similarity 0.93; kind - / -,y,e/a spelling of same hut name
places: Antenringer Sumpf -> Anteninger Sumpf,places,Antenringer Sumpf,Anteninger Sumpf,similar,candidate,2,18,similarity 0.97; kind - / locality,y,OCR variant of same swamp; V9 1931 Pöcking
places: Anteringer Sumpf -> Anteninger Sumpf,places,Anteringer Sumpf,Anteninger Sumpf,similar,candidate,3,18,similarity 0.94; kind locality / locality,y,OCR variant of same swamp; V9 1931 Pöcking
places: Antreninger Sumpf -> Anteninger Sumpf,places,Antreninger Sumpf,Anteninger Sumpf,similar,candidate,6,18,similarity 0.97; kind locality / locality,y,OCR variant of same swamp; V9 1931 Pöcking
places: Antwinger Sumpf -> Anteninger Sumpf,places,Antwinger Sumpf,Anteninger Sumpf,similar,candidate,4,18,similarity 0.90; kind locality / locality,y,OCR variant of same swamp; V9 1931 Pöcking
places: Antenringer Sumpf -> Anteringer Sumpf,places,Antenringer Sumpf,Anteringer Sumpf,similar,candidate,2,3,similarity 0.97; kind - / locality,n,superseded; another canonical accepted
places: Antenringer Sumpf -> Antreninger Sumpf,places,Antenringer Sumpf,Antreninger Sumpf,similar,candidate,2,6,similarity 0.94; kind - / locality,n,superseded; another canonical accepted
places: Anthering -> Antering,places,Anthering,Antering,similar,candidate,2,9,similarity 0.94; kind locality / locality,y,h-insertion spelling; base of Anteringer Moos
places: Antwringer Moos -> Anteringer Moos,places,Antwringer Moos,Anteringer Moos,similar,candidate,2,24,similarity 0.93; kind locality / locality,n,superseded; another canonical accepted
places: Anteringer Sumpf -> Antreninger Sumpf,places,Anteringer Sumpf,Antreninger Sumpf,similar,candidate,3,6,similarity 0.91; kind locality / locality,n,superseded; another canonical accepted
places: Anteringer Sumpf -> Antwinger Sumpf,places,Anteringer Sumpf,Antwinger Sumpf,similar,candidate,3,4,similarity 0.90; kind locality / locality,n,superseded; another canonical accepted
places: Antworinger Filz -> Antwinger Filz,places,Antworinger Filz,Antwinger Filz,similar,candidate,2,18,similarity 0.93; kind locality / locality,y,OCR variant of same Filz
places: Antwringer Moos -> Antwinger Moos,places,Antwringer Moos,Antwinger Moos,similar,candidate,2,56,similarity 0.97; kind locality / locality,y,OCR letter swap; same Pöcking bog
places: Anzeler-Park -> Anzelerpark,places,Anzeler-Park,Anzelerpark,similar,candidate,1,4,similarity 0.96; kind - / locality,y,hyphen variant; Kaufbeuren
places: Arnheim -> Arnsheim,places,Arnheim,Arnsheim,similar,candidate,1,2,similarity 0.93; kind - / locality,n,unclear; Arnheim is a distinct known city
places: Arnspeckstraße -> Arnpeckstraße,places,Arnspeckstraße,Arnpeckstraße,similar,candidate,2,2,similarity 0.97; kind locality / locality,y,OCR insertion; Arnpeckstraße is real Munich street
places: Aschheimerstraße -> Aschheimer Straße,places,Aschheimerstraße,Aschheimer Straße,similar,candidate,6,19,similarity 0.97; kind locality / locality,y,space variant
places: Bachmayer-Garten -> Bachmayr-Garten,places,Bachmayer-Garten,Bachmayr-Garten,similar,candidate,2,2,similarity 0.97; kind locality / locality,y,Mayer/Mayr spelling; Pöcking 1934-35
places: Bachmayrs Garten -> Bachmayer-Garten,places,Bachmayrs Garten,Bachmayer-Garten,similar,candidate,2,2,similarity 0.94; kind locality / locality,y,genitive/hyphen variant; Pöcking 1934
places: Bachmayrs Garten -> Bachmayr-Garten,places,Bachmayrs Garten,Bachmayr-Garten,similar,candidate,2,2,similarity 0.97; kind locality / locality,n,superseded; another canonical accepted
places: Badehütten -> Badekütten,places,Badehütten,Badekütten,similar,candidate,2,3,similarity 0.91; kind locality / locality,y,OCR k/h; Badekütten is not a word
places: Bäcker-Mühle -> Bäckermühle,places,Bäcker-Mühle,Bäckermühle,similar,candidate,4,12,similarity 0.96; kind locality / locality,y,hyphen variant
places: Bärenstatt -> Bärnstatt,places,Bärenstatt,Bärnstatt,similar,candidate,4,8,similarity 0.95; kind locality / locality,y,spelling variant; Hintersteiner See 1938
places: Baggersee I -> Baggersee,places,Baggersee I,Baggersee,similar,candidate,10,34,similarity 0.90; kind locality / locality,n,numbered lake vs generic term
places: Baggerseen -> Baggersee,places,Baggerseen,Baggersee,similar,candidate,12,34,similarity 0.95; kind locality / locality,y,plural/singular of same generic term
places: Baggersee II -> Baggersee I,places,Baggersee II,Baggersee I,similar,candidate,8,10,similarity 0.96; kind locality / locality,n,different numbered lakes
places: Bahnhof Söcking -> Bahnhof Pöcking,places,Bahnhof Söcking,Bahnhof Pöcking,similar,candidate,2,10,similarity 0.94; kind - / locality,n,Söcking and Pöcking are different villages
places: Bairwies -> Bairawies,places,Bairwies,Bairawies,similar,candidate,1,9,similarity 0.94; kind - / locality,y,spelling variant of Bairawies
places: Barrig -> Barig,places,Barrig,Barig,similar,candidate,3,3,similarity 0.91; kind locality / locality,y,double-r variant; same Bad Schandau trip 1957
places: Bauerwald -> Bauernwald,places,Bauerwald,Bauernwald,similar,candidate,2,12,similarity 0.95; kind locality / locality,y,n-drop variant; Kaufbeuren
places: Baukhof -> Bauhof,places,Baukhof,Bauhof,similar,candidate,2,254,similarity 0.92; kind locality / locality,y,OCR insertion; Ismaning Bauhof
places: Beckstettener Moos -> Beckstetter Moos,places,Beckstettener Moos,Beckstetter Moos,similar,candidate,8,18,similarity 0.94; kind locality / locality,y,adjectival variant; Kaufbeuren
places: Berabacher Weiher -> Bernbacher Weiher,places,Berabacher Weiher,Bernbacher Weiher,similar,candidate,1,28,similarity 0.94; kind - / locality,y,OCR variant
places: Bergwies -> Bergwiese,places,Bergwies,Bergwiese,similar,candidate,2,19,similarity 0.94; kind locality / locality,y,dialect e-drop of same word
places: Bernbacher Moor -> Bernbacher Moos,places,Bernbacher Moor,Bernbacher Moos,similar,candidate,2,31,similarity 0.93; kind locality / locality,y,Moor/Moos synonym; same 1919 Kaufbeuren bog
places: Bernbacher Weiler -> Bernbacher Weiher,places,Bernbacher Weiler,Bernbacher Weiher,similar,candidate,1,28,similarity 0.94; kind - / locality,y,OCR l/h; single use
places: Bernried Park -> Bernrieder Park,places,Bernried Park,Bernrieder Park,similar,candidate,1,4,similarity 0.93; kind - / locality,y,adjectival variant
places: Biesenhofen -> Bienenhofen,places,Biesenhofen,Bienenhofen,similar,candidate,3,7,similarity 0.91; kind locality / locality,n,superseded; another canonical accepted
places: Biesenhofer -> Biesenhofen,places,Biesenhofer,Biesenhofen,similar,candidate,3,3,similarity 0.91; kind locality / locality,y,adjectival inflection of same village
places: Biesenhoffen -> Biesenhofen,places,Biesenhoffen,Biesenhofen,similar,candidate,1,3,similarity 0.96; kind - / locality,n,superseded; another canonical accepted
places: Biesenhofen -> Biessenhofen,places,Biesenhofen,Biessenhofen,similar,candidate,3,32,similarity 0.96; kind locality / locality,y,spelling variant of Biessenhofen
places: Biesenhoffen -> Biessenhofen,places,Biesenhoffen,Biessenhofen,similar,candidate,1,32,similarity 0.92; kind - / locality,y,spelling variant of Biessenhofen
places: Birkenmoor -> Birkenmoos,places,Birkenmoor,Birkenmoos,similar,candidate,5,9,similarity 0.90; kind locality / locality,y,Moor/Moos synonym of same generic name
places: Blutenburger Straße -> Blutenburgstraße,places,Blutenburger Straße,Blutenburgstraße,similar,candidate,2,2,similarity 0.92; kind locality / locality,y,adjectival variant of Munich street
places: Bodendorf -> Bodensdorf,places,Bodendorf,Bodensdorf,similar,candidate,17,66,similarity 0.95; kind settlement / settlement,y,OCR s-drop; same Sept 1956 trip
places: Bogenhausener Brücke -> Bogenhauser Brücke,places,Bogenhausener Brücke,Bogenhauser Brücke,similar,candidate,3,47,similarity 0.95; kind locality / locality,y,adjectival variant
places: Botanischer Garten und Nymphenburger Kanal -> Botanischer Garten und Nymphenburger Park,places,Botanischer Garten und Nymphenburger Kanal,Botanischer Garten und Nymphenburger Park,similar,candidate,2,2,similarity 0.92; kind locality / locality,n,Kanal and Park are different features
places: Brandl -> Brand,places,Brandl,Brand,similar,candidate,1,8,similarity 0.91; kind - / locality,n,unclear; Brandl likely distinct farm/family name
places: Brandis Westgrube -> Brandis Ostgrube,places,Brandis Westgrube,Brandis Ostgrube,similar,candidate,2,2,similarity 0.91; kind locality / locality,n,compass-point variants; different pits
places: Branntweiners Mahd -> Brantweiners Mahd,places,Branntweiners Mahd,Brantweiners Mahd,similar,candidate,2,2,similarity 0.97; kind locality / locality,y,spelling variant; Kaufbeuren
places: Braunaubrücke -> Braunauer Brücke,places,Braunaubrücke,Braunauer Brücke,similar,candidate,4,9,similarity 0.90; kind locality / locality,y,compound variant; Isar bridge Munich
