habitat_label,n_obs,status,eunis_code,eunis_label,eunis_level,match,confidence,note,eunis_uri,decision
Fischteiche,30,linked,J5.3,Highly artificial non-saline standing waters,3,exact,0.90,Highly artificial non-saline standing waters,http://eunis.eea.europa.eu/eunishabitats/J5.3,
beim Haus,30,linked,J2,Low density buildings,2,broad,0.80,Low density buildings and surroundings,http://eunis.eea.europa.eu/eunishabitats/J2,
Fabrikhof,30,linked,J1.4,Urban and suburban industrial and commercial sites still in active use,3,exact,0.90,Industrial site,http://eunis.eea.europa.eu/eunishabitats/J1.4,
Acker,29,linked,I1,Arable land and market gardens,2,exact,1.00,Arable land,http://eunis.eea.europa.eu/eunishabitats/I1,
Bergwald,29,linked,G,"Woodland, forest and other wooded land",1,close,0.80,"Mountain forest, can be coniferous or mixed",http://eunis.eea.europa.eu/eunishabitats/G,
Waldrand,28,linked,E5.2,Thermophile woodland fringes,3,close,0.80,Woodland fringes,http://eunis.eea.europa.eu/eunishabitats/E5.2,
Waldblöße,28,linked,G5.8,Recently felled areas,3,close,0.80,Recently felled or cleared woodland area,http://eunis.eea.europa.eu/eunishabitats/G5.8,
Obstbäume,28,linked,G1.D,Fruit and nut tree orchards,3,exact,0.90,Fruit orchards,http://eunis.eea.europa.eu/eunishabitats/G1.D,
Waldwiese,26,linked,E2,Mesic grasslands,2,close,0.80,Mesic grassland within woodland,http://eunis.eea.europa.eu/eunishabitats/E2,
Weidengebüsch,25,linked,F9.2,[Salix] carr and fen scrub,3,exact,0.90,Salix carr and fen scrub,http://eunis.eea.europa.eu/eunishabitats/F9.2,
Weiden,25,linked,F9.2,[Salix] carr and fen scrub,3,close,0.80,Salix scrub or trees,http://eunis.eea.europa.eu/eunishabitats/F9.2,
Gärtnerei,24,linked,I1.2,Mixed crops of market gardens and horticulture,3,exact,0.90,Market gardens and horticulture,http://eunis.eea.europa.eu/eunishabitats/I1.2,
Wälder,23,linked,G,"Woodland, forest and other wooded land",1,exact,1.00,Woodland and forest,http://eunis.eea.europa.eu/eunishabitats/G,
Birken,23,linked,G1.9,"Non-riverine woodland with [Betula], [Populus tremula] or [Sorbus aucuparia]",3,close,0.80,Betula woodland,http://eunis.eea.europa.eu/eunishabitats/G1.9,
Fichtenbestand,22,linked,G3.1,[Abies] and [Picea] woodland,3,exact,0.90,Picea woodland,http://eunis.eea.europa.eu/eunishabitats/G3.1,
Wald und Berg,22,review,G,"Woodland, forest and other wooded land",1,broad,0.60,Complex of forest and mountain,http://eunis.eea.europa.eu/eunishabitats/G,
Ft,22,no_match,,,,none,0.10,"Abbreviation, unclear",,
Bach,21,linked,C2.2,"Permanent non-tidal, fast, turbulent watercourses",3,close,0.80,Fast-flowing stream,http://eunis.eea.europa.eu/eunishabitats/C2.2,
Buchenwald,20,linked,G1.6,[Fagus] woodland,3,exact,1.00,Fagus woodland,http://eunis.eea.europa.eu/eunishabitats/G1.6,
Futterplatz,20,linked,I2.2,Small-scale ornamental and domestic garden areas,3,broad,0.70,"Feeding station, usually in gardens",http://eunis.eea.europa.eu/eunishabitats/I2.2,
Büsche,20,linked,F3.1,Temperate thickets and scrub,3,close,0.80,Temperate thickets and scrub,http://eunis.eea.europa.eu/eunishabitats/F3.1,
Futterhäuschen,20,linked,I2.2,Small-scale ornamental and domestic garden areas,3,broad,0.70,Bird feeder in garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Straße,19,linked,J4.2,Road networks,3,exact,1.00,Road networks,http://eunis.eea.europa.eu/eunishabitats/J4.2,
Schilfgürtel,19,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.90,Water-fringing reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Ahorn-Allee,19,linked,G5.1,Lines of trees,3,close,0.90,Line of trees (Acer),http://eunis.eea.europa.eu/eunishabitats/G5.1,
Strand,18,linked,B1,Coastal dunes and sandy shores,2,close,0.70,Sandy shore or lake beach,http://eunis.eea.europa.eu/eunishabitats/B1,
Wiesen und Felder,17,linked,X07,Intensively-farmed crops interspersed with strips of natural and/or semi-natural vegetation,2,close,0.80,Mosaic of crops and grassland,http://eunis.eea.europa.eu/eunishabitats/X07,
Futterständer,17,linked,I2.2,Small-scale ornamental and domestic garden areas,3,broad,0.70,Feeding stand in garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Sumpfwiese,16,linked,E3,Seasonally wet and wet grasslands,2,close,0.80,Seasonally wet or wet grassland,http://eunis.eea.europa.eu/eunishabitats/E3,
Stoppelfeld,16,linked,I1.5,"Bare tilled, fallow or recently abandoned arable land",3,exact,0.90,Fallow or recently harvested arable land,http://eunis.eea.europa.eu/eunishabitats/I1.5,
Schotterwiese,16,linked,E1.1,Inland sand and rock with open vegetation,3,close,0.70,Gravelly dry grassland,http://eunis.eea.europa.eu/eunishabitats/E1.1,
Weingärten,16,linked,FB.4,Vineyards,3,exact,1.00,Vineyards,http://eunis.eea.europa.eu/eunishabitats/FB.4,
Fichtendickung,15,linked,G3.1,[Abies] and [Picea] woodland,3,close,0.80,Dense young spruce stand,http://eunis.eea.europa.eu/eunishabitats/G3.1,
Eiche,15,linked,G1.8,Acidophilous [Quercus]-dominated woodland,3,close,0.70,Quercus woodland,http://eunis.eea.europa.eu/eunishabitats/G1.8,
Mooswiese,15,linked,D2,"Valley mires, poor fens and transition mires",2,close,0.70,Mossy wet meadow or poor fen,http://eunis.eea.europa.eu/eunishabitats/D2,
Mischwald,15,linked,G4,Mixed deciduous and coniferous woodland,2,exact,1.00,Mixed deciduous and coniferous woodland,http://eunis.eea.europa.eu/eunishabitats/G4,
Buchenhochwald,15,linked,G1.6,[Fagus] woodland,3,exact,0.90,Mature Fagus forest,http://eunis.eea.europa.eu/eunishabitats/G1.6,
Fichteichen,15,linked,G4,Mixed deciduous and coniferous woodland,2,close,0.80,"Mixed spruce-oak forest, G4 mixed woodland",http://eunis.eea.europa.eu/eunishabitats/G4,
Balkon,14,linked,J1,"Buildings of cities, towns and villages",2,broad,0.90,"Balcony, part of residential buildings",http://eunis.eea.europa.eu/eunishabitats/J1,
Rohr,14,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.90,"Reedbed, water-fringing reedbeds",http://eunis.eea.europa.eu/eunishabitats/C3.2,
Sandbank,14,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,close,0.90,Unvegetated or sparsely vegetated shores,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Weidicht,14,linked,F9.1,Riverine scrub,3,exact,0.95,"Willow scrub, riverine scrub",http://eunis.eea.europa.eu/eunishabitats/F9.1,
Gartenanlagen,13,linked,I2,Cultivated areas of gardens and parks,2,exact,0.95,Cultivated areas of gardens and parks,http://eunis.eea.europa.eu/eunishabitats/I2,
Hecke,13,linked,FA,Hedgerows,2,exact,1.00,Hedgerows,http://eunis.eea.europa.eu/eunishabitats/FA,
Sumpf,13,linked,D5,"Sedge and reedbeds, normally without free-standing water",2,close,0.80,"Swamp/marsh, sedge and reedbeds",http://eunis.eea.europa.eu/eunishabitats/D5,
Ried,13,linked,D5,"Sedge and reedbeds, normally without free-standing water",2,exact,0.90,"Fen/reedbed, sedge and reedbeds",http://eunis.eea.europa.eu/eunishabitats/D5,
Tümpel,13,linked,C1.6,"Temporary lakes, ponds and pools",3,close,0.85,Temporary or small pond,http://eunis.eea.europa.eu/eunishabitats/C1.6,
Getreidefeld,12,linked,I1.1,Intensive unmixed crops,3,exact,0.95,"Cereal field, intensive unmixed crops",http://eunis.eea.europa.eu/eunishabitats/I1.1,
Birkenwäldchen,12,linked,G5.2,Small broadleaved deciduous anthropogenic woodlands,3,close,0.85,"Small birch wood, anthropogenic or early-stage",http://eunis.eea.europa.eu/eunishabitats/G5.2,
Steinbruch,12,linked,J3.2,"Active opencast mineral extraction sites, including quarries",3,exact,1.00,"Quarry, active or recently abandoned",http://eunis.eea.europa.eu/eunishabitats/J3.2,
Schilfwald,12,linked,C3.21,[Phragmites australis] beds,4,exact,0.95,Phragmites reedbed,http://eunis.eea.europa.eu/eunishabitats/C3.21,
Latschen,12,linked,F2.4,Conifer scrub close to the tree limit,3,exact,0.95,Pinus mugo scrub close to tree limit,http://eunis.eea.europa.eu/eunishabitats/F2.4,
Campos,12,linked,E1,Dry grasslands,2,close,0.70,Dry grassland or open fields,http://eunis.eea.europa.eu/eunishabitats/E1,
Torfstich,11,linked,J3.3,Recently abandoned above-ground spaces of extractive industrial sites,3,close,0.80,"Peat cutting, extractive site",http://eunis.eea.europa.eu/eunishabitats/J3.3,
Strauchwerk,11,linked,F3,Temperate and mediterranean-montane scrub,2,exact,0.90,Temperate scrub,http://eunis.eea.europa.eu/eunishabitats/F3,
Futterfenster,11,linked,J1,"Buildings of cities, towns and villages",2,broad,0.80,"Feeding window, part of a building",http://eunis.eea.europa.eu/eunishabitats/J1,
Sumpf- und Wasservogelreservat,11,linked,X,Habitat complexes,1,broad,0.70,"Wetland reserve, complex of habitats",http://eunis.eea.europa.eu/eunishabitats/X,
hohe Bäume,11,linked,G,"Woodland, forest and other wooded land",1,broad,0.70,"Tall trees, woodland or lines of trees",http://eunis.eea.europa.eu/eunishabitats/G,
Schirm,11,review,J2,Low density buildings,2,broad,0.50,Shelter or canopy structure,http://eunis.eea.europa.eu/eunishabitats/J2,
Allee,11,linked,G5.1,Lines of trees,3,exact,1.00,"Avenue, lines of trees",http://eunis.eea.europa.eu/eunishabitats/G5.1,
Buchenwäldchen,11,linked,G5.2,Small broadleaved deciduous anthropogenic woodlands,3,close,0.85,Small beech wood,http://eunis.eea.europa.eu/eunishabitats/G5.2,
Gehölz,10,linked,F3.1,Temperate thickets and scrub,3,close,0.80,"Copses, thickets or small woods",http://eunis.eea.europa.eu/eunishabitats/F3.1,
Auwäldchen,10,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.90,Small alluvial forest,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Buchen,10,linked,G1.6,[Fagus] woodland,3,close,0.85,"Beech trees, Fagus woodland",http://eunis.eea.europa.eu/eunishabitats/G1.6,
Moorwiese,10,linked,E3,Seasonally wet and wet grasslands,2,close,0.85,"Fen meadow, wet grassland",http://eunis.eea.europa.eu/eunishabitats/E3,
Birkenmoor,10,linked,G1.5,Broadleaved swamp woodland on acid peat,3,exact,0.90,Birch bog woodland,http://eunis.eea.europa.eu/eunishabitats/G1.5,
Busch,10,linked,F3,Temperate and mediterranean-montane scrub,2,close,0.90,Shrub/bush,http://eunis.eea.europa.eu/eunishabitats/F3,
Waldungen,10,linked,G,"Woodland, forest and other wooded land",1,exact,1.00,Woodlands,http://eunis.eea.europa.eu/eunishabitats/G,
Lagunen,10,linked,X02,Saline coastal lagoons,2,close,0.80,Lagoons (Adriatic context),http://eunis.eea.europa.eu/eunishabitats/X02,
Schilfsaum,10,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Reed fringe,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Blänke,10,linked,C1,Surface standing waters,2,close,0.80,Pool of open water in a marsh,http://eunis.eea.europa.eu/eunishabitats/C1,
Pappeln,10,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.80,"Poplars, typical of riparian woodland",http://eunis.eea.europa.eu/eunishabitats/G1.1,
Damm,10,linked,J4,Transport networks and other constructed hard-surfaced areas,2,broad,0.70,Embankment/dyke,http://eunis.eea.europa.eu/eunishabitats/J4,
Schlamm,10,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,broad,0.80,"Mud, unvegetated shore",http://eunis.eea.europa.eu/eunishabitats/C3.6,
Bachwäldchen,10,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.85,Small brookside woodland,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Saatfeld,9,linked,I1.5,"Bare tilled, fallow or recently abandoned arable land",3,close,0.80,"Sown field, arable land",http://eunis.eea.europa.eu/eunishabitats/I1.5,
Ufergebüsch,9,linked,F9.1,Riverine scrub,3,exact,0.95,Riparian scrub,http://eunis.eea.europa.eu/eunishabitats/F9.1,
Kiesgrube,9,linked,J3.2,"Active opencast mineral extraction sites, including quarries",3,exact,0.95,Active opencast mineral extraction sites,http://eunis.eea.europa.eu/eunishabitats/J3.2,
überschwemmte Wiese,9,linked,E3,Seasonally wet and wet grasslands,2,close,0.90,Seasonally wet and wet grasslands,http://eunis.eea.europa.eu/eunishabitats/E3,
Tannen,9,linked,G3.1,[Abies] and [Picea] woodland,3,close,0.85,Abies and Picea woodland,http://eunis.eea.europa.eu/eunishabitats/G3.1,
Ufer,9,linked,C3,Littoral zone of inland surface waterbodies,2,broad,0.80,Littoral zone of inland surface waterbodies,http://eunis.eea.europa.eu/eunishabitats/C3,
Schotterbank,9,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,close,0.90,Unvegetated or sparsely vegetated shores with soft/mobile sediments,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Föhren,9,linked,G3.4,[Pinus sylvestris] woodland south of the taiga,3,close,0.85,Pinus sylvestris woodland,http://eunis.eea.europa.eu/eunishabitats/G3.4,
Fichtenwald,9,linked,G3.1,[Abies] and [Picea] woodland,3,exact,0.95,Picea woodland,http://eunis.eea.europa.eu/eunishabitats/G3.1,
Laubwald,9,linked,G1,Broadleaved deciduous woodland,2,exact,1.00,Broadleaved deciduous woodland,http://eunis.eea.europa.eu/eunishabitats/G1,
Seeufer,9,linked,C3,Littoral zone of inland surface waterbodies,2,close,0.90,Littoral zone of inland surface waterbodies,http://eunis.eea.europa.eu/eunishabitats/C3,
Winterteiche,9,linked,C1.6,"Temporary lakes, ponds and pools",3,close,0.75,"Temporary lakes, ponds and pools",http://eunis.eea.europa.eu/eunishabitats/C1.6,
Kungs-Anlagen beim Vasa-Schloß,9,linked,X11,Large parks,2,close,0.85,Large parks,http://eunis.eea.europa.eu/eunishabitats/X11,
Vorfluter,9,linked,C2,Surface running waters,2,broad,0.80,Surface running waters,http://eunis.eea.europa.eu/eunishabitats/C2,
Pappelhain,9,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,close,0.85,Populus woodland,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Kiesinsel,8,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,broad,0.80,Unvegetated or sparsely vegetated river shores/islands,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Hang,8,review,H,Inland unvegetated or sparsely vegetated habitats,1,broad,0.50,Inland unvegetated or sparsely vegetated habitats,http://eunis.eea.europa.eu/eunishabitats/H,
Erlengebüsch,8,linked,F9.2,[Salix] carr and fen scrub,3,exact,0.90,Salix carr and fen scrub (includes Alnus),http://eunis.eea.europa.eu/eunishabitats/F9.2,
Baum,8,review,G5.1,Lines of trees,3,broad,0.60,Lines of trees or single trees,http://eunis.eea.europa.eu/eunishabitats/G5.1,
Düne,8,linked,B1,Coastal dunes and sandy shores,2,broad,0.70,Coastal dunes or inland sand dunes (E1.9),http://eunis.eea.europa.eu/eunishabitats/B1,
Erlenbruch,8,linked,G1.4,Broadleaved swamp woodland not on acid peat,3,exact,0.95,Broadleaved swamp woodland not on acid peat,http://eunis.eea.europa.eu/eunishabitats/G1.4,
Lärchenwälder,8,linked,G3.2,Alpine [Larix] - [Pinus cembra] woodland,3,exact,0.90,Alpine Larix - Pinus cembra woodland,http://eunis.eea.europa.eu/eunishabitats/G3.2,
Hain,8,linked,G5,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",2,broad,0.70,Small anthropogenic woodlands,http://eunis.eea.europa.eu/eunishabitats/G5,
Waldsaum,8,linked,E5.2,Thermophile woodland fringes,3,close,0.85,Thermophile woodland fringes,http://eunis.eea.europa.eu/eunishabitats/E5.2,
Gürtelsaum,8,linked,E5,Woodland fringes and clearings and tall forb stands,2,broad,0.75,Woodland fringes and clearings,http://eunis.eea.europa.eu/eunishabitats/E5,
OB,8,no_match,,,,none,0.00,"Abbreviation, unclear meaning",,
Futterbrett am Küchenfenster,8,linked,J1.2,Residential buildings of villages and urban peripheries,3,broad,0.80,Residential buildings of villages and urban peripheries,http://eunis.eea.europa.eu/eunishabitats/J1.2,
Stausee,8,linked,J5.3,Highly artificial non-saline standing waters,3,exact,0.90,Highly artificial non-saline standing waters,http://eunis.eea.europa.eu/eunishabitats/J5.3,
Schotterfeld,7,linked,H2,Screes,2,broad,0.70,Screes or gravel fields,http://eunis.eea.europa.eu/eunishabitats/H2,
Fichtenschonung,7,linked,G3.F,Highly artificial coniferous plantations,3,close,0.85,Highly artificial coniferous plantations,http://eunis.eea.europa.eu/eunishabitats/G3.F,
Kastanien,7,linked,G1.D,Fruit and nut tree orchards,3,close,0.75,Fruit and nut tree orchards,http://eunis.eea.europa.eu/eunishabitats/G1.D,
Eichenwald,7,linked,G1.8,Acidophilous [Quercus]-dominated woodland,3,close,0.80,Acidophilous Quercus-dominated woodland,http://eunis.eea.europa.eu/eunishabitats/G1.8,
Lärche,7,linked,G3.2,Alpine [Larix] - [Pinus cembra] woodland,3,close,0.80,Alpine Larix - Pinus cembra woodland,http://eunis.eea.europa.eu/eunishabitats/G3.2,
Dickungen,7,linked,F3,Temperate and mediterranean-montane scrub,2,broad,0.75,Temperate and mediterranean-montane scrub,http://eunis.eea.europa.eu/eunishabitats/F3,
Bächlein,7,linked,C2.2,"Permanent non-tidal, fast, turbulent watercourses",3,close,0.80,"Permanent non-tidal, fast, turbulent watercourses",http://eunis.eea.europa.eu/eunishabitats/C2.2,
Isarauen,7,linked,G1.2,Mixed riparian floodplain and gallery woodland,3,close,0.90,Mixed riparian floodplain and gallery woodland,http://eunis.eea.europa.eu/eunishabitats/G1.2,
Au,7,linked,G1.2,Mixed riparian floodplain and gallery woodland,3,close,0.85,Mixed riparian floodplain and gallery woodland,http://eunis.eea.europa.eu/eunishabitats/G1.2,
Wiesen und Matten,7,linked,E2,Mesic grasslands,2,close,0.90,Mesic grasslands,http://eunis.eea.europa.eu/eunishabitats/E2,
Föhrenwald mit Hochmoorcharakter,7,linked,G3.D,Boreal bog conifer woodland,3,exact,0.90,Boreal bog conifer woodland,http://eunis.eea.europa.eu/eunishabitats/G3.D,
Waldhang,7,linked,G,"Woodland, forest and other wooded land",1,broad,0.80,"Woodland, forest and other wooded land",http://eunis.eea.europa.eu/eunishabitats/G,
Birkenbestände,7,linked,G1.9,"Non-riverine woodland with [Betula], [Populus tremula] or [Sorbus aucuparia]",3,close,0.85,Non-riverine woodland with Betula,http://eunis.eea.europa.eu/eunishabitats/G1.9,
Lech,7,linked,C2,Surface running waters,2,broad,0.90,River Lech (running water),http://eunis.eea.europa.eu/eunishabitats/C2,
Speichersee,7,linked,J5.3,Highly artificial non-saline standing waters,3,exact,0.90,Highly artificial non-saline standing waters,http://eunis.eea.europa.eu/eunishabitats/J5.3,
Bäume beim Haus,7,linked,G5.1,Lines of trees,3,close,0.80,Lines of trees or small anthropogenic woodland near buildings,http://eunis.eea.europa.eu/eunishabitats/G5.1,
Kolonie,7,no_match,,,,none,0.90,"Refers to breeding colony, not a habitat",,
Eis,7,linked,H4,Snow or ice-dominated habitats,2,close,0.80,Snow or ice-dominated habitats,http://eunis.eea.europa.eu/eunishabitats/H4,
Birkenhof,7,linked,J2,Low density buildings,2,broad,0.70,Farmstead/rural buildings with birch trees,http://eunis.eea.europa.eu/eunishabitats/J2,
Hainbuchen-Wäldchen,7,linked,G1.A,"Meso- and eutrophic [Quercus], [Carpinus], [Fraxinus], [Acer], [Tilia], [Ulmus] and related woodland",3,close,0.90,Carpinus-dominated small woodland,http://eunis.eea.europa.eu/eunishabitats/G1.A,
Felder und Wiesen,6,linked,X07,Intensively-farmed crops interspersed with strips of natural and/or semi-natural vegetation,2,close,0.80,Mosaic of arable land and grassland,http://eunis.eea.europa.eu/eunishabitats/X07,
Hochmoor,6,linked,D1.1,Raised bogs,3,exact,1.00,Raised bogs,http://eunis.eea.europa.eu/eunishabitats/D1.1,
Schilfrohr,6,linked,C3.21,[Phragmites australis] beds,4,exact,1.00,Phragmites beds,http://eunis.eea.europa.eu/eunishabitats/C3.21,
Holunderbüsche,6,linked,F3.1,Temperate thickets and scrub,3,close,0.80,Sambucus scrub,http://eunis.eea.europa.eu/eunishabitats/F3.1,
freies Wasser,6,linked,C1,Surface standing waters,2,broad,0.80,Open standing water,http://eunis.eea.europa.eu/eunishabitats/C1,
Disteln,6,linked,E5.1,Anthropogenic herb stands,3,broad,0.70,Anthropogenic herb stands with thistles,http://eunis.eea.europa.eu/eunishabitats/E5.1,
Anlagen am See-Ufer,6,linked,I2,Cultivated areas of gardens and parks,2,close,0.80,Parks/gardens at lake shore,http://eunis.eea.europa.eu/eunishabitats/I2,
